evidencetype	gene_hugo_id	gene_entrez_id	gene_normalized	cancer_id	cancer_normalized	drug_id	drug	variant_group	variant_withsub	citation_count	in_civic	correct	usable	needed	comment
Prognostic	HGNC:5382	3417	IDH1	DOID:3070	malignant glioma			mutation	mutation	76	No	yes	yes	maybe	this depends on how important brain glioma vs malignant glioma distinction is
Prognostic	HGNC:3236	1956	EGFR	DOID:9256	colorectal cancer			[unknown]		76	No	N/A	N/A	N/A	
Prognostic	HGNC:3433	2067	ERCC1	DOID:3908	non-small cell lung carcinoma			expression	expression	71	No	yes	yes	yes	29200955
Prognostic	HGNC:3236	1956	EGFR	DOID:1324	lung cancer			mutation	mutation	70	No	yes	yes	no	lung cancer too general a term
Prognostic	HGNC:3430	2064	ERBB2	DOID:10534	stomach cancer			overexpression	overexpression	67	No	yes	yes	yes	
Prognostic	HGNC:3236	1956	EGFR	DOID:1612	breast cancer			overexpression	overexpression	67	No	yes	yes	yes	
Prognostic	HGNC:1100	672	BRCA1	DOID:1612	breast cancer			mutation	mutation	64	No	yes	yes	yes	surprised we don’t have this
Prognostic	HGNC:3236	1956	EGFR	DOID:1612	breast cancer			[unknown]		57	No	N/A	N/A	N/A	
Prognostic	HGNC:12680	7422	VEGFA	DOID:1612	breast cancer			expression	expression	57	No	yes	yes	yes	10735889
Prognostic	HGNC:11998	7157	TP53	DOID:9256	colorectal cancer			mutation	mutation	55	No	yes	yes	yes	
Prognostic	HGNC:3430	2064	ERBB2	DOID:10534	stomach cancer			expression	expression	52	No	yes	yes	yes	29321573
Prognostic	HGNC:990	596	BCL2	DOID:1612	breast cancer			expression	expression	51	No	no	yes	yes	"this is for TN BC, not BC. While wrong, it points to something useable and needed"
Prognostic	HGNC:9605	5743	PTGS2	DOID:9256	colorectal cancer			expression	expression	51	No	yes	yes	yes	26957558 mir21 and ptgs2; 20824502
Prognostic	HGNC:12680	7422	VEGFA	DOID:3908	non-small cell lung carcinoma			expression	expression	51	No	yes	yes	yes	28241836
Prognostic	HGNC:9605	5743	PTGS2	DOID:1612	breast cancer			expression	expression	47	No	yes	yes	yes	27999206 from some of the sentences I would expect overexpression to be a variant as well
Prognostic	HGNC:12680	7422	VEGFA	DOID:10534	stomach cancer			expression	expression	47	No	yes	yes	yes	
Prognostic	HGNC:9454	8842	PROM1	DOID:9256	colorectal cancer			expression	expression	46	No	yes	yes	yes	28523049
Prognostic	HGNC:1748	999	CDH1	DOID:1612	breast cancer			expression	expression	46	No	yes	yes	yes	28750639
Prognostic	HGNC:12680	7422	VEGFA	DOID:9256	colorectal cancer			expression	expression	42	No	maybe	yes	yes	lots of data but most seems to be for increased expression or overexpression type variant
Prognostic	HGNC:12680	7422	VEGFA	DOID:3908	non-small cell lung carcinoma			overexpression	overexpression	42	No	yes	yes	yes	
Prognostic	HGNC:11998	7157	TP53	DOID:684	hepatocellular carcinoma			mutation	mutation	42	No	yes	yes	yes	
Prognostic	HGNC:402	216	ALDH1A1	DOID:1612	breast cancer			expression	expression	41	No	yes	yes	yes	
Prognostic	HGNC:3236	1956	EGFR	DOID:9256	colorectal cancer			expression	expression	37	No	yes	yes	yes	29383110
Prognostic	HGNC:11998	7157	TP53	DOID:9256	colorectal cancer			expression	expression	37	No	yes	yes	yes	26013439
Prognostic	HGNC:593	332	BIRC5	DOID:1612	breast cancer			expression	expression	36	No	yes	yes	yes	28476037
Prognostic	HGNC:5477	3492	IGH	DOID:1040	chronic lymphocytic leukemia			mutation	mutation	36	No	yes	yes	yes	26643954 This pertains to variable region of the IGH gene (IGHV)
Prognostic	HGNC:12680	7422	VEGFA	DOID:1612	breast cancer			overexpression	overexpression	35	No	yes	yes	yes	
Prognostic	HGNC:1817	1048	CEACAM5	DOID:9256	colorectal cancer			[unknown]		34	No	N/A	N/A	N/A	
Prognostic	HGNC:12680	7422	VEGFA	DOID:1612	breast cancer			[unknown]		34	No	N/A	N/A	N/A	
Prognostic	HGNC:7059	4255	MGMT	DOID:3070	malignant glioma			methylation	methylation	33	No	yes	yes	yes	29712977
Prognostic	HGNC:3498	2122	MECOM	DOID:9119	acute myeloid leukemia			overexpression	overexpression	33	No	yes	yes	yes	29408852
Prognostic	HGNC:3236	1956	EGFR	DOID:2394	ovarian cancer			overexpression	overexpression	33	No	yes	yes	yes	
